trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,Sobol,0.289624407974446551605751665193,279,0.891164058446884177477897992503,0.516926014050841375890854578756
1,1_0,COMPLETED,Sobol,0.287256305760546282179745958274,277,0.796329740807414032666144976247,0.553851592727005459515510210622
2,2_0,COMPLETED,Sobol,0.287641810772111483629487338476,56,0.564008093904703855514526367188,0.777804055716842412948608398438
3,3_0,COMPLETED,Sobol,0.281969379887652804583808574534,176,0.199219920486211787835628683752,0.711541084758937403265122156881
4,4_0,COMPLETED,Sobol,0.288357748650732492734505285625,459,0.128826317191123973504573996252,0.683132903557270854122407399700
5,5_0,COMPLETED,Sobol,0.283841832800969307015748199774,97,0.237775728758424537145899080315,0.772070944309234619140625000000
6,6_0,COMPLETED,Sobol,0.290560634431104691799419015297,403,0.592548271361738598805857236584,0.589519310090690806802626866556
7,7_0,COMPLETED,Sobol,0.290725850864632651138208530028,451,0.159694225434213882275358287188,0.624980535637587375497048469697
8,8_0,COMPLETED,Sobol,0.283731688511950630449121035781,386,0.186210354324430227279663085938,0.606148756481707073895393023122
9,9_0,COMPLETED,Sobol,0.295021478136358594746013750409,330,0.131327967438846837655574972814,0.689751045312732458114624023438
10,10_0,COMPLETED,Sobol,0.289789624407974399922238717409,346,0.146652578376233577728271484375,0.736295207403600215911865234375
11,11_0,COMPLETED,Sobol,0.291772221610309467898503044125,237,0.779963809158653043063225140941,0.720785484369844242635849695944
12,12_0,COMPLETED,Sobol,0.286430223592906707530403309647,63,0.513835391122847817690910687816,0.657586010452359870370742100931
13,13_0,COMPLETED,Sobol,0.300088115431214941253301731194,423,0.968054596427828095706047406566,0.696664147078990936279296875000
14,14_0,COMPLETED,Sobol,0.291882365899328144465130208118,346,0.803905521146953128130974164378,0.681365316361188910754265180003
15,15_0,COMPLETED,Sobol,0.281804163454124956267321522319,113,0.762007247097790219036994585622,0.619599760323762849267836827494
16,16_0,COMPLETED,Sobol,0.286760656459962515185679876595,390,0.650765308737754843981804242503,0.509744476806372359689589757181
17,17_0,COMPLETED,Sobol,0.284172265668025114671024766722,354,0.956087445653974965509291905619,0.714265111647546357964699836884
18,18_0,COMPLETED,Sobol,0.289954840841502359261028232140,214,0.226930457167327404022216796875,0.726172034256160281451286664378
19,19_0,COMPLETED,Sobol,0.287586738627602200857324987737,50,0.372523916605860039297226649069,0.715504896827042102813720703125
20,20_0,COMPLETED,BoTorch,0.288137460072695250623553420155,50,0.801743443852676596073081327631,0.540452633372169310987942481006
21,21_0,COMPLETED,BoTorch,0.277343319748871053320726787206,97,0.100000000000000005551115123126,0.624729871840003392335916032607
22,22_0,COMPLETED,BoTorch,0.284117193523515831898862415983,56,1.000000000000000000000000000000,0.649486102295221967573013444053
23,23_0,COMPLETED,BoTorch,0.280262143407864261490658464027,141,0.470512614417974095459840100375,0.564499219695059339940712561656
24,24_0,COMPLETED,BoTorch,0.283180967066857580682892603363,50,0.100000000000000005551115123126,0.800000000000000044408920985006
25,25_0,COMPLETED,BoTorch,0.292763520211477001886635207484,349,0.127297051678502609606269402320,0.500000000000000000000000000000
26,26_0,COMPLETED,BoTorch,0.277783896904945426520328055631,140,1.000000000000000000000000000000,0.564564511779196087637444634311
27,27_0,COMPLETED,BoTorch,0.287862099350148725740439203946,50,0.899798597715675940733603965782,0.737071712894347363942415540805
28,28_0,COMPLETED,BoTorch,0.287972243639167291284763905423,50,1.000000000000000000000000000000,0.557236292659133436444562903489
29,29_0,COMPLETED,BoTorch,0.282630245621764530916664170945,50,0.342702119779559111201194809837,0.500000000000000000000000000000
30,30_0,COMPLETED,BoTorch,0.288908470095825542500733718043,500,0.100000000000000005551115123126,0.500000000000000000000000000000
31,31_0,COMPLETED,BoTorch,0.279050556228659596413876897714,105,0.100000000000000005551115123126,0.697349459957396056175582543801
32,32_0,COMPLETED,BoTorch,0.289183830818372067383847934252,393,0.100000000000000005551115123126,0.508758417289519870863045980514
33,33_0,COMPLETED,BoTorch,0.279876638396299171063219546340,149,0.100000000000000005551115123126,0.676926164921466511081860062404
34,34_0,COMPLETED,BoTorch,0.281033153430994553367838761915,147,0.352689434361582510035759696621,0.639532277146965477676587852329
35,35_0,COMPLETED,BoTorch,0.275801299702610469566366191430,153,0.660061439632941282518174830329,0.500000000000000000000000000000
36,36_0,COMPLETED,BoTorch,0.283896904945478589787910550513,50,0.752864104031171543773837129265,0.648979577944798879940435654134
37,37_0,COMPLETED,BoTorch,0.285824430003304374992012526491,102,0.830370083122697555388924683939,0.688815222221741740860068148322
38,38_0,COMPLETED,BoTorch,0.292267870910893234892569125805,500,0.517269410043618482752947329573,0.500000000000000000000000000000
39,39_0,COMPLETED,BoTorch,0.281418658442559754817580142117,50,0.100000000000000005551115123126,0.698637980430236171791591459623
40,40_0,COMPLETED,BoTorch,0.279491133384733969613478166139,157,0.919310758947713968503023806988,0.500000000000000000000000000000
41,41_0,COMPLETED,BoTorch,0.279546205529243363407942979393,107,0.100000000000000005551115123126,0.514477506174741527900096116355
42,42_0,COMPLETED,BoTorch,0.282905606344311055799778387154,141,0.824542545677123039915557001223,0.500000000000000000000000000000
43,43_0,COMPLETED,BoTorch,0.281638947020596996928532007587,169,0.485213483805112533175929456775,0.500000000000000000000000000000
44,44_0,COMPLETED,BoTorch,0.280702720563938745712562194967,162,0.857264041744994487181941167364,0.567150924444416837388871499570
45,45_0,COMPLETED,BoTorch,0.282685317766273813688826521684,174,0.865947602399560367736341959244,0.500000000000000000000000000000
46,46_0,COMPLETED,BoTorch,0.278830267650622354302925032243,163,0.100000000000000005551115123126,0.500000000000000000000000000000
47,47_0,COMPLETED,BoTorch,0.282134596321180763922598089266,88,0.100000000000000005551115123126,0.500000000000000000000000000000
48,48_0,COMPLETED,BoTorch,0.277618680471417578203841003415,159,1.000000000000000000000000000000,0.670156931037201419876225827466
49,49_0,COMPLETED,BoTorch,0.284667914968608881665090848401,131,0.964775461149469548693957676733,0.500000000000000000000000000000
50,50_0,COMPLETED,BoTorch,0.284062121379006549126700065244,166,1.000000000000000000000000000000,0.523538748169329437587293796241
51,51_0,COMPLETED,BoTorch,0.282409957043727288805712305475,150,0.895772707180448768404801285214,0.606021793766657990154556046036
52,52_0,COMPLETED,BoTorch,0.277894041193964103086955219624,115,0.100000000000000005551115123126,0.579229492328251716060094622662
53,53_0,COMPLETED,BoTorch,0.285879502147813657764174877229,155,0.778645814750002274173823479941,0.500000000000000000000000000000
54,54_0,COMPLETED,BoTorch,0.281528802731578320361904843594,104,0.344790234989131638698722781555,0.500000000000000000000000000000
55,55_0,COMPLETED,BoTorch,0.281198369864522512706628276646,169,0.729309840698723399476932627294,0.500000000000000000000000000000
56,56_0,COMPLETED,BoTorch,0.277949113338473385859117570362,137,0.100000000000000005551115123126,0.539134108423303004542503913399
57,57_0,COMPLETED,BoTorch,0.281308514153541189273255440639,137,0.332452673083033889422921447476,0.500000000000000000000000000000
58,58_0,COMPLETED,BoTorch,0.282079524176671481150435738527,125,0.100000000000000005551115123126,0.628846958941705946877220867464
59,59_0,COMPLETED,BoTorch,0.285328780702720607997946444812,153,1.000000000000000000000000000000,0.799425505444962825052357402456
60,60_0,COMPLETED,BoTorch,0.275030289679480066666883431026,153,0.598139552546557595746890001465,0.600108510738485478874792988790
61,61_0,COMPLETED,BoTorch,0.280978081286485270595676411176,138,0.100000000000000005551115123126,0.500000000000000000000000000000
62,62_0,COMPLETED,BoTorch,0.281033153430994553367838761915,133,0.100000000000000005551115123126,0.800000000000000044408920985006
63,63_0,COMPLETED,BoTorch,0.289018614384844108045058419521,145,0.446657079522024047513184541458,0.800000000000000044408920985006
64,64_0,COMPLETED,BoTorch,0.291607005176781619582015991909,156,0.683439246111532283656231356872,0.755922336173302844564148017525
65,65_0,COMPLETED,BoTorch,0.281969379887652804583808574534,147,0.100000000000000005551115123126,0.582915451697777253770027527935
66,66_0,COMPLETED,BoTorch,0.279821566251789888291057195602,124,0.283535641492037748800925101023,0.594005294001025641037472269090
67,67_0,COMPLETED,BoTorch,0.280757792708448028484724545706,120,0.197567830373741482041793915414,0.537675287353794773004267426586
68,68_0,COMPLETED,BoTorch,0.281528802731578320361904843594,141,0.416696188482252094509306061809,0.500000000000000000000000000000
69,69_0,COMPLETED,BoTorch,0.281088225575503947162303575169,129,0.100000000000000005551115123126,0.699143854074393278352772540529
70,70_0,COMPLETED,BoTorch,0.278499834783566435625346002780,125,0.100000000000000005551115123126,0.522943711585440729194829145854
71,71_0,COMPLETED,BoTorch,0.276241876858684842765967459854,126,0.100000000000000005551115123126,0.589314744833681292135452167713
72,72_0,COMPLETED,BoTorch,0.281694019165106279700694358326,73,0.100000000000000005551115123126,0.601001536135989500309051436489
73,73_0,COMPLETED,BoTorch,0.281473730587069037589742492855,168,0.395413665049338058921080119035,0.569241035680599027912762721826
74,74_0,COMPLETED,BoTorch,0.283180967066857580682892603363,140,0.645654732849099244340607128834,0.572350880373848291959859579947
75,75_0,COMPLETED,BoTorch,0.282244740610199329466922790743,159,0.646448755631037541569128279662,0.569466049017948505728270447435
76,76_0,COMPLETED,BoTorch,0.278830267650622354302925032243,176,1.000000000000000000000000000000,0.609506905769382378856846571580
77,77_0,COMPLETED,BoTorch,0.277728824760436143748165704892,136,1.000000000000000000000000000000,0.623141711529160868821008989471
78,78_0,COMPLETED,BoTorch,0.285989646436832223308499578707,196,0.100000000000000005551115123126,0.500000000000000000000000000000
79,79_0,COMPLETED,BoTorch,0.283456327789404105566006819572,50,0.100000000000000005551115123126,0.500000000000000000000000000000
80,80_0,COMPLETED,BoTorch,0.283401255644894822793844468833,50,0.100000000000000005551115123126,0.566756900244500316787821247999
81,81_0,COMPLETED,BoTorch,0.283125894922348297910730252624,167,0.258458763596267737661094088253,0.564775181152750271884599442274
82,82_0,COMPLETED,BoTorch,0.282740389910783096460988872423,194,0.286850907074828187504067500413,0.504527680255935195852146080142
83,83_0,COMPLETED,BoTorch,0.279050556228659596413876897714,187,0.100000000000000005551115123126,0.544939498567801439143920561037
84,84_0,COMPLETED,BoTorch,0.287531666483092807062860174483,218,0.100000000000000005551115123126,0.533253841634868774868039054127
85,85_0,COMPLETED,BoTorch,0.278169401916510627970069435833,175,0.822366476223294617931003358535,0.613299254536257665293419449881
86,86_0,COMPLETED,BoTorch,0.284117193523515831898862415983,86,0.100000000000000005551115123126,0.667065606852710879515200304013
87,87_0,COMPLETED,BoTorch,0.285879502147813657764174877229,175,0.566697434739261041158897569403,0.573756627997540791241704027925
88,88_0,COMPLETED,BoTorch,0.280592576274920180168237493490,155,0.507639005828601552750001246750,0.563206736610502134432465481950
89,89_0,COMPLETED,BoTorch,0.285383852847229890770108795550,153,1.000000000000000000000000000000,0.627645731124489514307640547486
90,90_0,COMPLETED,BoTorch,0.278554906928075829419810816034,111,0.100000000000000005551115123126,0.647911238618280593826170843386
91,91_0,COMPLETED,BoTorch,0.278995484084150202619412084459,169,1.000000000000000000000000000000,0.648269300139687310036151757231
92,92_0,COMPLETED,BoTorch,0.279270844806696727502526300668,106,0.204881163444568081821728355862,0.603062110959838304502511618921
93,93_0,COMPLETED,BoTorch,0.280592576274920180168237493490,156,1.000000000000000000000000000000,0.596234821278724180793062714656
94,94_0,COMPLETED,BoTorch,0.279821566251789888291057195602,102,0.100000000000000005551115123126,0.575733639758434612154758269753
95,95_0,COMPLETED,BoTorch,0.279270844806696727502526300668,140,0.100000000000000005551115123126,0.629480158745430951050536805269
96,96_0,COMPLETED,BoTorch,0.282630245621764530916664170945,146,1.000000000000000000000000000000,0.672932905304021167225414501445
97,97_0,COMPLETED,BoTorch,0.278279546205529193514394137310,103,0.100000000000000005551115123126,0.800000000000000044408920985006
98,98_0,COMPLETED,BoTorch,0.285493997136248456314433497027,126,1.000000000000000000000000000000,0.619025403251991068742654533708
99,99_0,COMPLETED,BoTorch,0.281253442009031795478790627385,112,0.350429475797578660056785793131,0.583888343469668891216883821471
100,100_0,COMPLETED,BoTorch,0.276902742592796569098823056265,147,1.000000000000000000000000000000,0.645935380995855679131523174874
101,101_0,COMPLETED,BoTorch,0.282024452032162087355970925273,179,0.755580169805030954499613926600,0.579296420340779216751059266244
102,102_0,COMPLETED,BoTorch,0.287586738627602200857324987737,183,1.000000000000000000000000000000,0.647020022197494326654521046294
103,103_0,COMPLETED,BoTorch,0.277343319748871053320726787206,137,0.272426633484075086943931864880,0.567132029990135788644067815767
104,104_0,COMPLETED,BoTorch,0.285053419980174083114832228603,204,1.000000000000000000000000000000,0.598490366596845735358556339634
105,105_0,COMPLETED,BoTorch,0.283070822777839015138567901886,152,1.000000000000000000000000000000,0.614593440376986377415846618533
106,106_0,COMPLETED,BoTorch,0.281749091309615562472856709064,117,0.559933035129034029075967282552,0.518328787245505018255187223986
107,107_0,COMPLETED,BoTorch,0.287476594338583524290697823744,218,1.000000000000000000000000000000,0.527725613458486453311024888535
108,108_0,COMPLETED,BoTorch,0.281694019165106279700694358326,129,0.182432777657681566285674534811,0.573961679878187136516487498739
109,109_0,COMPLETED,BoTorch,0.282465029188236571577874656214,132,0.214593935761159343433845947402,0.604675191583381010929088006378
110,110_0,COMPLETED,BoTorch,0.282299812754708723261387603998,140,0.215783266746549240444608130929,0.526736118009531684158730513445
111,111_0,COMPLETED,BoTorch,0.279270844806696727502526300668,84,0.100000000000000005551115123126,0.800000000000000044408920985006
112,112_0,COMPLETED,BoTorch,0.279931710540808453835381897079,121,0.461099321040784437819581853546,0.520238375675113884355482696265
113,113_0,COMPLETED,BoTorch,0.280262143407864261490658464027,152,0.242451434744108240693094558083,0.500000000000000000000000000000
114,114_0,COMPLETED,BoTorch,0.281528802731578320361904843594,133,0.100000000000000005551115123126,0.568533926371933340249142929679
115,115_0,COMPLETED,BoTorch,0.278995484084150202619412084459,116,0.100000000000000005551115123126,0.552902456056725388755523908912
116,116_0,COMPLETED,BoTorch,0.279546205529243363407942979393,114,0.100000000000000005551115123126,0.500000000000000000000000000000
117,117_0,COMPLETED,BoTorch,0.279766494107280494496592382347,155,0.100000000000000005551115123126,0.553111818141280853211583234952
118,118_0,COMPLETED,BoTorch,0.285769357858794981197547713236,111,0.173870024645234877436195120026,0.500000000000000000000000000000
119,119_0,COMPLETED,BoTorch,0.281914307743143521811646223796,158,0.334927417987588516012920081266,0.510832448987396881001643578202
120,120_0,COMPLETED,BoTorch,0.283621544222932064904796334304,118,0.268408705336400044139111287222,0.644332027836468590464846784016
121,121_0,COMPLETED,BoTorch,0.282465029188236571577874656214,122,0.708557093278831318095001279289,0.556082995274509994665379508660
122,122_0,COMPLETED,BoTorch,0.280867936997466705051351709699,106,0.100000000000000005551115123126,0.732072635940252292030550052004
123,123_0,COMPLETED,BoTorch,0.283511399933913388338169170311,121,0.566909573171175185102299565187,0.541865272891536631227893394680
124,124_0,COMPLETED,BoTorch,0.275636083269082510227576676698,149,0.754695824747960486433839832898,0.588425420491383244225858106802
125,125_0,COMPLETED,BoTorch,0.283125894922348297910730252624,129,0.589246593185611011733726627426,0.500000000000000000000000000000
126,126_0,COMPLETED,BoTorch,0.281418658442559754817580142117,110,0.100000000000000005551115123126,0.609115066559503426368848977290
127,127_0,COMPLETED,BoTorch,0.282850534199801773027616036416,203,0.531040033459246552105526006926,0.500000000000000000000000000000
128,128_0,COMPLETED,BoTorch,0.281143297720013229934465925908,165,0.100000000000000005551115123126,0.624624212429148006897605682752
129,129_0,COMPLETED,BoTorch,0.279325916951206121296991113923,121,0.100000000000000005551115123126,0.685114631577661836736581335572
130,130_0,COMPLETED,BoTorch,0.279601277673752646180105330131,87,0.100000000000000005551115123126,0.751111028744832598391667488613
131,131_0,COMPLETED,BoTorch,0.279766494107280494496592382347,142,0.614650447696278301457084580761,0.540367909531072276863028491789
132,132_0,COMPLETED,BoTorch,0.280592576274920180168237493490,146,0.549776497456099355609637768794,0.500000000000000000000000000000
133,133_0,COMPLETED,BoTorch,0.281143297720013229934465925908,127,0.100000000000000005551115123126,0.752156689269240175121922220569
134,134_0,COMPLETED,BoTorch,0.279546205529243363407942979393,111,0.100000000000000005551115123126,0.742716400990437897178253479069
135,135_0,COMPLETED,BoTorch,0.277618680471417578203841003415,158,0.100000000000000005551115123126,0.600584001707562875616019937297
136,136_0,COMPLETED,BoTorch,0.281253442009031795478790627385,142,0.826278419562594956815360092151,0.552684077132715168012566664402
137,137_0,COMPLETED,BoTorch,0.278885339795131637075087382982,105,1.000000000000000000000000000000,0.530364569594345525160861143377
138,138_0,COMPLETED,BoTorch,0.275911443991629035110690892907,117,0.100000000000000005551115123126,0.728469742401629316574940276041
139,139_0,COMPLETED,BoTorch,0.281198369864522512706628276646,136,0.611143793025807013918893062510,0.540528177830530864866886986420
140,140_0,COMPLETED,BoTorch,0.282134596321180763922598089266,201,0.608590575169650760400941180706,0.538717043023511754640253457183
141,141_0,COMPLETED,BoTorch,0.280372287696882938057285628020,130,0.100000000000000005551115123126,0.659927403001376200464278554136
142,142_0,COMPLETED,BoTorch,0.277673752615926860976003354153,135,0.100000000000000005551115123126,0.597870434712020837331181155605
143,143_0,COMPLETED,BoTorch,0.285989646436832223308499578707,126,1.000000000000000000000000000000,0.574420502534266352867575733399
144,144_0,COMPLETED,BoTorch,0.275085361823989460461348244280,157,0.100000000000000005551115123126,0.775100145791817185525474087626
145,145_0,COMPLETED,BoTorch,0.284778059257627447209415549878,150,0.401954412510997616259089681989,0.551410232145369882950092232932
146,146_0,COMPLETED,BoTorch,0.287091089327018433863258906058,147,0.241245701405028684094489221934,0.626640860581471947909903974505
147,147_0,COMPLETED,BoTorch,0.283070822777839015138567901886,147,0.100000000000000005551115123126,0.736845088012871629601363565598
148,148_0,COMPLETED,BoTorch,0.280482431985901503601610329497,102,0.100000000000000005551115123126,0.665105291605398774024138219829
149,149_0,COMPLETED,BoTorch,0.277728824760436143748165704892,95,0.100000000000000005551115123126,0.703587212337524525729293145559
150,150_0,COMPLETED,BoTorch,0.274975217534970783894721080287,144,0.798855281559089580589727574989,0.607419363917430454868906508636
151,151_0,COMPLETED,BoTorch,0.283070822777839015138567901886,149,0.100000000000000005551115123126,0.622283128859416168054963236500
152,152_0,COMPLETED,BoTorch,0.280151999118845695946333762549,142,0.100000000000000005551115123126,0.713164479485242419620760756516
153,153_0,COMPLETED,BoTorch,0.296728714616147137839163860917,500,0.100000000000000005551115123126,0.800000000000000044408920985006
154,154_0,COMPLETED,BoTorch,0.281418658442559754817580142117,152,0.100000000000000005551115123126,0.500000000000000000000000000000
155,155_0,COMPLETED,BoTorch,0.278114329772001345197907085094,125,0.100000000000000005551115123126,0.553270322635416866852153816581
156,156_0,COMPLETED,BoTorch,0.282299812754708723261387603998,88,0.280239437988785589084272942273,0.607837710627459615331247277936
157,157_0,COMPLETED,BoTorch,0.284282409957043680215349468199,140,0.440010489543598670714175113972,0.597240754300619181016429593001
158,158_0,COMPLETED,BoTorch,0.277618680471417578203841003415,147,0.100000444397151569408954685514,0.736858308486604385301177444489
159,159_0,COMPLETED,BoTorch,0.281088225575503947162303575169,151,0.100000000000000005551115123126,0.800000000000000044408920985006
160,160_0,COMPLETED,BoTorch,0.281088225575503947162303575169,119,0.100000000000000005551115123126,0.800000000000000044408920985006
161,161_0,COMPLETED,BoTorch,0.278885339795131637075087382982,156,0.759328526471418685517278390762,0.573682427118430426915551834099
162,162_0,COMPLETED,BoTorch,0.280702720563938745712562194967,158,0.811226580330461799483998674987,0.601976145592748035362262726267
163,163_0,COMPLETED,BoTorch,0.281638947020596996928532007587,103,1.000000000000000000000000000000,0.641159654533012712818162981421
164,164_0,COMPLETED,BoTorch,0.285218636413701931431319280819,157,0.715667241700024492345733051479,0.617026921353644897116907941381
165,165_0,COMPLETED,BoTorch,0.282409957043727288805712305475,138,0.882297257699207748693481789815,0.625156568365934584008414276468
166,166_0,COMPLETED,BoTorch,0.282409957043727288805712305475,117,0.855948281786603648590983084432,0.616026613298382930139496238553
167,167_0,COMPLETED,BoTorch,0.282850534199801773027616036416,140,0.768956595616834825968055611156,0.581679216058005543743547605118
